City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,6.81,70,20,1.03,AR,1738043352
1,bredasdorp,-34.5322,20.0403,19.77,85,100,7.85,ZA,1738043353
2,crane,31.3974,-102.3501,4.66,79,73,3.78,US,1738043354
3,enewetak,11.3474,162.3373,27.14,78,50,7.85,MH,1738043355
4,blackmans bay,-43.0167,147.3167,19.07,37,8,6.91,AU,1738043357
5,ta`u,-14.2336,-169.5144,27.71,77,52,4.53,AS,1738043358
6,alvorada,-12.48,-49.1247,22.34,92,4,1.18,BR,1738043359
7,iqaluit,63.7506,-68.5145,-21.15,65,40,3.09,CA,1738043360
8,port mathurin,-19.6833,63.4167,26.01,81,95,4.95,MU,1738043362
9,ilulissat,69.2167,-51.1,-13.99,40,36,0.51,GL,1738043363
10,puerto ayora,-0.7393,-90.3518,24.19,98,82,1.75,EC,1738043364
11,talodi,10.6325,30.3797,22.74,16,1,3.38,SD,1738043365
12,yellowknife,62.456,-114.3525,-14.69,92,40,1.54,CA,1738043352
13,port elizabeth,-33.918,25.5701,19.62,99,100,1.34,ZA,1738043368
14,stanley,54.868,-1.6985,3.62,97,75,1.03,GB,1738043369
15,waitangi,-43.9535,-176.5597,14.34,74,3,1.79,NZ,1738043370
16,conception bay south,47.4999,-52.9981,-5.05,85,11,4.84,CA,1738043371
17,port-aux-francais,-49.35,70.2167,5.03,79,77,20.13,TF,1738043373
18,coquimbo,-29.9533,-71.3436,16.85,88,0,2.06,CL,1738043374
19,yeed,4.55,43.0333,27.04,48,40,7.63,SO,1738043375
20,betare oya,5.6,14.0833,18.85,26,35,1.1,CM,1738043376
21,adamstown,-25.066,-130.1015,25.42,69,9,1.77,PN,1738043378
22,guise,49.9006,3.628,6.13,79,79,9.59,FR,1738043379
23,tayaman,13.2295,120.5726,28.92,53,97,1.78,PH,1738043380
24,hawaiian paradise park,19.5933,-154.9731,21.05,95,57,0.45,US,1738043347
25,bethel,41.3712,-73.414,2.38,47,0,6.17,US,1738043383
26,georgetown,5.4112,100.3354,26.97,61,20,4.12,MY,1738043269
27,chibougamau,49.9168,-74.3659,-21.21,71,0,5.66,CA,1738043385
28,kruisfontein,-34.0033,24.7314,18.73,94,100,7.36,ZA,1738043386
29,tangalle,6.024,80.7911,21.98,93,100,3.72,LK,1738043387
30,bilibino,68.0546,166.4372,-32.16,100,71,0.39,RU,1738043389
31,albany,42.6001,-73.9662,0.87,48,84,0.89,US,1738043390
32,yarmouth,41.7057,-70.2286,4.98,67,0,9.77,US,1738043391
33,constantia,44.1833,28.65,2.38,86,69,4.11,RO,1738043393
34,ganshui,28.7422,106.7111,12.37,54,50,1.68,CN,1738043394
35,new norfolk,-42.7826,147.0587,17.83,31,2,4.99,AU,1738043395
36,baicheng,45.6167,122.8167,-8.75,52,100,6.57,CN,1738043396
37,hermanus,-34.4187,19.2345,21.0,86,92,6.41,ZA,1738043397
38,udachny,66.4167,112.4,-19.25,94,100,7.11,RU,1738043399
39,invercargill,-46.4,168.35,18.9,56,63,4.47,NZ,1738043400
40,sikonge,-5.6333,32.7667,18.63,94,99,1.36,TZ,1738043401
41,tai'an,36.1853,117.12,-0.15,19,0,4.49,CN,1738043402
42,la ronge,55.1001,-105.2842,2.14,55,75,5.66,CA,1738043404
43,cabo san lucas,22.8909,-109.9124,20.42,59,80,2.91,MX,1738043225
44,yuzhno-kurilsk,44.0306,145.8556,0.89,90,99,3.0,RU,1738043406
45,tazovsky,67.4667,78.7,-25.89,90,6,6.36,RU,1738043407
46,pisco,-13.7,-76.2167,22.03,73,0,2.57,PE,1738043409
47,boa vista,2.8197,-60.6733,25.99,73,0,3.09,BR,1738043410
48,kodiak,57.79,-152.4072,-4.27,74,0,2.06,US,1738043411
49,nova sintra,14.8667,-24.7167,22.41,77,0,11.61,CV,1738043414
50,ghanzi,-21.5667,21.7833,23.05,44,25,6.26,BW,1738043415
51,papatowai,-46.5619,169.4708,21.67,51,49,1.62,NZ,1738043416
52,isafjordur,66.0755,-23.124,-5.85,87,100,2.5,IS,1738043418
53,sinan,34.8262,126.1086,0.97,62,100,14.1,KR,1738043419
54,college,64.8569,-147.8028,-8.01,62,100,8.23,US,1738043421
55,antsiranana,-12.2787,49.2917,29.42,74,40,0.0,MG,1738043422
56,olonkinbyen,70.9221,-8.7187,-3.17,83,95,1.52,SJ,1738043425
57,kayangel,8.0823,134.7173,25.62,85,100,0.27,PW,1738043426
58,tsiombe,-25.3,45.4833,23.3,99,100,5.54,MG,1738043427
59,bonthe,7.5264,-12.505,24.02,92,72,1.63,SL,1738043429
60,san antonio de pale,-1.4014,5.6325,27.03,77,12,2.01,GQ,1738043430
61,ilembula,-8.9,34.5833,18.89,84,93,0.49,TZ,1738043431
62,chonchi,-42.6128,-73.8092,8.46,85,45,0.73,CL,1738043432
63,axim,4.8699,-2.2405,24.2,92,11,0.75,GH,1738043434
64,christchurch,-43.5333,172.6333,20.11,65,0,7.72,NZ,1738043435
65,roma,43.2128,-75.4557,-1.29,91,100,6.17,US,1738043436
66,cidreira,-30.1811,-50.2056,24.23,85,93,6.92,BR,1738043437
67,ulsteinvik,62.3432,5.8487,3.51,88,100,0.45,NO,1738043438
68,omoku,5.3435,6.6532,24.06,93,10,0.31,NG,1738043441
69,opuwo,-18.0607,13.84,22.38,59,33,0.91,NA,1738043442
70,east london,-33.0153,27.9116,21.78,95,100,4.07,ZA,1738043443
71,trevelin,-43.0858,-71.4639,6.16,85,100,2.34,AR,1738043445
72,nadym,65.5333,72.5167,-19.79,97,87,4.21,RU,1738043446
73,nuku'alofa,-21.1333,-175.2,24.19,100,100,2.57,TO,1738043280
74,pariaman,-0.619,100.12,29.03,65,98,2.21,ID,1738043448
75,belomorsk,64.5232,34.7668,-7.27,99,94,1.35,RU,1738043449
76,zhoukou,33.6333,114.6333,6.92,21,0,4.66,CN,1738043451
77,makassar,-5.14,119.4221,25.03,100,40,2.06,ID,1738043452
78,zaozersk,69.4005,32.4476,-5.78,86,100,4.06,RU,1738043453
79,buta,2.7858,24.73,22.08,35,8,0.53,CD,1738043454
80,portland,45.5234,-122.6762,4.76,63,0,4.47,US,1738043359
81,grytviken,-54.2811,-36.5092,5.14,98,100,3.75,GS,1738043457
82,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,54,75,4.0,RU,1738043458
83,kone,-21.0595,164.8658,29.2,65,96,2.21,NC,1738043459
84,chinde,26.8212,87.7095,22.13,39,0,3.18,NP,1738043460
85,ribeira grande,38.5167,-28.7,17.1,85,35,8.49,PT,1738043462
86,thompson,55.7435,-97.8558,-17.91,85,100,1.54,CA,1738043463
87,uturoa,-16.7333,-151.4333,27.8,75,2,6.91,PF,1738043464
